Name,Kai,,
Session,11,,
Date,5/13/19,,
Number of recordings,1,,
,global time,GSR time,Recording number if more than 1
heart rate,3:02:00 PM,,
range of motion,3:05:00 PM,,
baseline,3:13:00 PM,,
Exr #1,3:16:00 PM,0:02:31,1
AbR #1,3:17:00 PM,0:04:28,1
MxdPr #1,3:19:00 PM,0:06:06,1
MxdCr #1,3:21:00 PM,0:07:46,1
ExR #2,3:24:00 PM,0:11:32,1
AbR #2,3:26:00 PM,0:13:47,1
MxdPr #2,3:28:00 PM,0:15:30,1
MxdCr #2,X,X,X
FAR #1,3:32:00 PM,0:18:54,1
SAR #1,3:33:00 PM,0:20:18,1
SR #1,3:35:00 PM,0:22:07,1
FAR #2,3:38:00 PM,0:25:11,1
SAR #2,3:40:00 PM,0:26:52,1
SR #2,3:42:00 PM,0:29:20,1
survey,3:45:00 PM,0:32:40,1
range of motion,3:50:00 PM,,
