Name,Simon,,
Session,2,,
Date,4/12/19,,
Number of recordings,1,,
,global time,GSR time,Recording number if more than 1
heart rate,12:12:00 PM,,
range of motion,12:15:00 PM,,
baseline,12:22:00 PM,,
FAR #1,12:23:00 PM,0:01:10,1
SAR #1,12:24:00 PM,0:02:48,1
SR #1,12:26:00 PM,0:04:25,1
FAR #2,12:28:00 PM,0:06:30,1
SAR #2,12:30:00 PM,0:08:25,1
SR #2,12:32:00 PM,0:10:20,1
FAR #3,12:35:00 PM,0:13:05,1
SAR #3,12:36:00 PM,0:14:45,1
SR #3,12:38:00 PM,0:16:45,1
survey,12:40:00 PM,0:19:00,1
range of motion,12:44:00 PM,,
