Name,Kai,,
Session,4,,
Date,4/17/19,,
Number of recordings,1,,
,global time,GSR time,Recording number if more than 1
heart rate,1:57:00 PM,,
range of motion,2:01:00 PM,,
baseline,2:08:00 PM,,
FAR #1,2:10:00 PM,0:01:20,1
SAR #1,2:11:00 PM,0:03:04,1
SR #1,2:12:00 PM,0:04:34,1
FAR #2,2:15:00 PM,0:07:27,1
SAR #2,2:17:00 PM,0:09:04,1
SR #2,2:19:00 PM,0:10:40,1
FAR #3,2:22:00 PM,0:13:57,1
SAR #3,2:23:00 PM,0:15:36,1
SR #3,2:25:00 PM,0:17:26,1
survey,2:30:00 PM,0:21:25,1
range of motion,2:34:00 PM,,
