Name,Paniz,,
Session,6,,
Date,4/24/19,,
Number of recordings,1,,
,global time,GSR time,Recording number if more than 1
heart rate,10:34:00 AM,,
range of motion,10:37:00 AM,,
baseline,10:44:00 AM,,
FAR #1,10:46:00 AM,0:01:28,1
SAR #1,10:47:00 AM,0:03:05,1
SR #1,10:49:00 AM,0:04:32,1
FAR #2,10:51:00 AM,0:07:14,1
SAR #2,10:53:00 AM,0:08:47,1
SR #2,10:55:00 AM,0:10:12,1
FAR #3,10:57:00 AM,0:12:43,1
SAR #3,10:59:00 AM,0:14:11,1
SR #3,11:00:00 AM,0:15:36,1
survey,11:02:00 AM,0:18:10,1
range of motion,X,,
