Name,Kai,,
Session,7,,
Date,4/29/19,,
Number of recordings,1,,
,global time,GSR time,Recording number if more than 1
heart rate,3:02:00 PM,,
range of motion,3:04:00 PM,,
baseline,3:09:00 PM,,
Exr #1,3:11:00 PM,0:02:02,1
AbR #1,3:14:00 PM,0:04:39,1
MxdPr #1,3:16:00 PM,0:06:40,1
MxdCr #1,3:17:00 PM,0:08:19,1
ExR #2,3:20:00 PM,0:10:46,1
AbR #2,3:22:00 PM,0:12:30,1
MxdPr #2,3:25:00 PM,0:15:41,1
MxdCr #2,3:26:00 PM,0:17:18,1
FAR #1,3:29:00 PM,0:20:20,1
SAR #1,3:31:00 PM,0:21:41,1
SR #1,3:32:00 PM,0:23:04,1
FAR #2,3:34:00 PM,0:24:54,1
SAR #2,3:35:00 PM,0:26:18,1
SR #2,3:38:00 PM,0:28:35,1
survey,3:40:00 PM,0:31:30,1
range of motion,3:44:00 PM,,
